345812323496637,Keelia,28751708982,Brazzaville,31/5/2001,12/4/2018,702.33
345812323496638,Jan,46237458795,Mérida,11/1/2005,19/4/2003,529.91
345812323496639,Deane,85609112697,Thimphu,7/8/2001,3/7/2020,446.52
345812323496640,Nadine,69258381201,Nukulaelae,25/10/2012,29/3/2004,144.47
345812323496641,Alameda,54480256867,San Diego,9/8/2003,22/5/2002,107.17
345812323496642,Max,69042594211,Asunción,16/10/2017,23/7/2020,244.65
345812323496643,Ariela,18384021070,Luanda,16/7/2019,2/10/2020,121.96
345812323496644,Robbi,12674675639,Shenyang,5/8/2013,28/6/2013,1.19
345812323496645,Orelia,86636317613,San Fernando,12/2/2012,30/4/2019,394.24
345812323496646,Ginnie,66217767910,Nukuʻalofa,27/8/2009,24/7/2019,714.24
345812323496647,Barbara,37471956307,Seattle,28/11/2010,24/3/2012,634.55
345812323496648,Di,31715063028,Nukus,5/11/2020,22/4/2020,189.26
345812323496649,Gertrud,47332806806,Ndola,20/11/2003,1/8/2007,144.61
345812323496650,Aimil,27867496974,Hanover,7/11/2014,4/11/2015,225.2
345812323496651,Fred,86627325897,Memphis,21/5/2012,1/4/2020,629.17
345812323496652,Ivett,26083291143,Kingstown,28/8/2008,23/1/2019,465.45
345812323496653,Coral,17613975379,Tokyo,6/6/2004,24/10/2000,101.35
345812323496654,Alia,70358401095,Balikpapan,28/2/2006,11/9/2004,866.95
345812323496655,Daune,83269334372,City of San Marino,22/1/2005,23/6/2005,823.51
345812323496656,Kathi,49831935752,Accra,11/5/2003,29/6/2015,344.89
345812323496657,Willetta,26387263657,Cali,1/3/2002,17/12/2002,656.36
345812323496658,Kara-Lynn,76778523626,N'Djamena,10/12/2010,30/5/2002,294.35
345812323496659,Moyna,57735763159,Bahía Blanca,17/2/2021,14/8/2004,172.28
345812323496660,Jany,81355179331,Memphis,4/4/2001,11/4/2005,115.32
345812323496661,Alexine,65036781542,Makassar,15/10/2005,27/10/2006,532.72
345812323496662,Joceline,88112342195,Kandahar,5/9/2005,27/3/2013,512.6
345812323496663,Adelle,16970044622,Tbilisi,10/8/2010,29/4/2004,179.9
345812323496664,Paule,41469086872,Tianjin,23/6/2011,29/7/2019,933.67
345812323496665,Lelah,10615582756,Moroni,22/9/2004,15/2/2016,925.75
345812323496666,Orelia,86073317515,Kota Bharu,28/3/2010,7/2/2021,494.75
345812323496667,Bee,47759009600,Ouagadougou,16/12/2014,30/1/2014,976.44
345812323496668,Fernande,44001531634,Patna,1/5/2017,19/1/2008,735.85
345812323496669,Allis,43815282390,Cayenne,11/4/2018,23/3/2006,615.82
345812323496670,Ekaterina,12544162952,Aarhus,20/11/2016,10/5/2004,260.86
